1,1,1
4,1,1
3,2,1
5,2,1
1,3,1
4,4,1
2,4,1
5,5,1
4,6,1
3,6,1
1,7,1
4,8,1
4,9,1
1,10,1
2,11,1
3,12,1
5,13,1
1,14,1
4,15,1
4,16,1
1,17,1
4,18,1
1,19,1
3,20,1
1,21,1
5,21,1
5,22,1
4,23,1
2,24,1
4,25,1
1,26,1
4,26,1
4,27,1
4,28,1
3,28,1
1,29,1
2,29,1
5,30,1
1,31,1
5,32,1
2,33,1
5,34,1
3,35,1
2,36,1
4,37,1
4,38,1
1,39,1
4,40,1
2,41,1
1,42,1
1,43,1
3,44,1
2,45,1
4,46,1
3,47,1
4,47,1
2,48,1
3,49,1
2,50,1
3,51,1
1,52,1
3,53,1
3,54,1
5,54,1
4,54,1
1,55,1
2,56,1
5,56,1
1,57,1
1,58,1
2,59,1
1,60,1
2,61,1
3,61,1
2,62,1
2,63,1
1,63,1
2,64,1
5,64,1
3,65,1
5,65,1
1,65,1
2,66,1
1,67,1
4,68,1
2,69,1
5,69,1
4,70,1
2,71,1
1,71,1
1,72,1
4,73,1
5,73,1
2,74,1
1,75,1
4,75,1
3,76,1
3,77,1
3,78,1
1,79,1
5,80,1
4,81,1
2,82,1
5,83,1
3,84,1
5,85,1
5,86,1
5,87,1
1,88,1
5,89,1
2,89,1
4,90,1
2,91,1
1,91,1
1,92,1
4,92,1
4,93,1
1,94,1
2,95,1
1,96,1
2,97,1
4,97,1
1,98,1
2,99,1
2,100,1
2,101,1
4,102,1
2,103,1
1,104,1
2,105,1
2,106,1
1,107,1
1,108,1
1,109,1
2,110,1
4,111,1
2,112,1
1,112,1
2,113,1
1,114,1
4,115,1
2,116,1
2,117,1
4,117,1
4,118,1
4,119,1
2,119,1
1,120,1
1,121,1
4,121,1
4,122,1
4,123,1
2,124,1
4,124,1
1,125,1
2,126,1
4,126,1
2,127,1
2,128,1
4,129,1
4,130,1
2,131,1
1,132,1
1,133,1
4,134,1
2,135,1
4,136,1
1,137,1
4,138,1
1,139,1
1,140,1
1,141,1
4,142,1
4,143,1
1,144,1
2,144,1
4,145,1
2,146,1
2,147,1
4,148,1
4,149,1
2,150,1
1,151,1
2,152,1
1,153,1
1,154,1
2,155,1
1,156,1
1,157,1
4,158,1
1,159,1
1,160,1
2,161,1
4,162,1
4,163,1
1,164,1
2,165,1
2,166,1
4,167,1
4,168,1
1,168,1
1,169,1
4,170,1
1,170,1
2,171,1
4,172,1
4,173,1
4,174,1
1,175,1
1,176,1
2,177,1
1,178,1
4,179,1
1,180,1
1,181,1
1,182,1
4,183,1
1,184,1
2,185,1
1,185,1
4,185,1
2,186,1
1,187,1
2,188,1
1,188,1
1,189,1
4,190,1
2,191,1
4,192,1
2,192,1
1,193,1
2,194,1
1,195,1
1,196,1
4,196,1
4,197,1
4,198,1
4,199,1
2,200,1
1,200,1
1,201,1
2,202,1
1,203,1
1,204,1
4,204,1
4,205,1
4,206,1
1,207,1
4,208,1
2,209,1
4,210,1
2,211,1
1,212,1
1,213,1
4,214,1
2,215,1
4,216,1
2,216,1
2,217,1
1,218,1
1,219,1
1,220,1
2,221,1
2,222,1
1,223,1
1,224,1
1,225,1
4,226,1
4,227,1
4,228,1
2,229,1
4,230,1
4,231,1
2,232,1
1,233,1
1,234,1
1,235,1
4,236,1
1,237,1
1,238,1
1,239,1
1,240,1
2,240,1
4,240,1
1,241,1
1,242,1
1,243,1
4,244,1
2,245,1
4,246,1
4,247,1
2,248,1
1,249,1
2,250,1
4,251,1
4,252,1
4,253,1
2,253,1
1,253,1
4,254,1
1,255,1
1,256,1
4,257,1
4,258,1
2,258,1
1,258,1
4,259,1
2,259,1
2,260,1
1,261,1
2,262,1
2,263,1
4,264,1
2,265,1
2,266,1
4,267,1
4,268,1
2,269,1
1,270,1
4,270,1
2,271,1
1,271,1
4,272,1
2,273,1
2,274,1
2,275,1
1,276,1
2,277,1
1,278,1
1,279,1
2,280,1
2,281,1
4,282,1
2,283,1
1,284,1
2,285,1
1,286,1
1,287,1
2,288,1
1,288,1
2,289,1
1,290,1
2,290,1
4,291,1
2,292,1
2,293,1
1,294,1
4,294,1
4,295,1
1,295,1
2,295,1
2,296,1
4,297,1
1,297,1
2,298,1
